"","site_code","year","block","plot","richness_vegan","shannon","inverse_simpson","evenness"
"2577","burren.ie",2017,1,9,30,2.97373299509922,13.3861720067454,0.874319441480332
"2578","burren.ie",2018,1,9,26,2.68431275792505,9.47543966040024,0.823889877601704
"2579","burren.ie",2015,1,10,24,2.35275187646256,6.41271676300578,0.740312153933833
"2580","burren.ie",2016,1,10,24,2.37980862061529,6.47165850244926,0.748825774406325
"2581","burren.ie",2017,1,10,16,1.64642469800364,2.7817703768624,0.593822186751739
"2582","burren.ie",2018,1,10,15,1.76901584707414,3.4161801501251,0.653243372797938
"2583","burren.ie",2015,2,11,25,2.48135348301585,6.8051341890315,0.770875801994459
"2584","burren.ie",2016,2,11,26,2.37834555577359,6.54868846568451,0.729980075181526
"2585","burren.ie",2017,2,11,24,2.59302656299077,9.76301162203133,0.815916501548647
"2586","burren.ie",2018,2,11,25,2.37994774785471,6.23996534796419,0.739372339084301
"2587","burren.ie",2015,2,12,29,2.74205405976684,11.0887372013652,0.814319322748028
"2588","burren.ie",2016,2,12,29,2.79381284744181,10.9529411764706,0.82969034753713
"2589","burren.ie",2017,2,12,26,2.73950947512621,11.0397812033814,0.840831277758825
"2590","burren.ie",2018,2,12,19,2.24776131816616,6.88920112404657,0.763392053314852
"2591","burren.ie",2015,2,13,25,2.52398814361551,7.77941176470588,0.784121004021289
"2592","burren.ie",2016,2,13,30,2.79933204948264,11.1801242236025,0.823043103753836
"2593","burren.ie",2017,2,13,28,2.66822410418834,8.52631578947368,0.800738398870976
"2594","burren.ie",2018,2,13,18,1.83628456021871,3.97578288100209,0.635310857574702
"2595","burren.ie",2015,2,14,29,2.75523399019604,9.83473861720067,0.818233422100936
"2596","burren.ie",2016,2,14,29,2.47659179447034,6.05491990846682,0.735483877720446
"2597","burren.ie",2017,2,14,19,2.01856453596757,4.17885697364525,0.685551492236738
"2598","burren.ie",2018,2,14,12,1.76682609046706,3.75435380384968,0.711023124598178
"2599","burren.ie",2015,2,15,21,2.4270765856524,7.33420365535248,0.797194514180449
"2600","burren.ie",2016,2,15,26,1.78907631469862,2.46765471660324,0.549117036226635
"2601","burren.ie",2017,2,15,25,2.30470130286715,4.64338781575037,0.715995716598207
"2602","burren.ie",2018,2,15,16,1.12611264398697,1.68781558726674,0.406159281740589
"2603","burren.ie",2015,2,16,32,2.90207842322044,11.5165238678091,0.837362829890198
"2604","burren.ie",2016,2,16,26,2.5376026890838,8.86153846153846,0.778860497063354
"2605","burren.ie",2017,2,16,12,0.999897200611959,1.64225796901214,0.402388234864784
"2606","burren.ie",2018,2,16,8,1.53414500959292,3.37720891824938,0.737767799114754
"2607","burren.ie",2015,2,17,24,2.51695792181518,7.8527724665392,0.791980896541205
"2608","burren.ie",2016,2,17,28,2.71464341002165,9.68321513002364,0.814668908145411
"2609","burren.ie",2017,2,17,27,2.53523344163646,7.07102148180623,0.769222975744555
"2610","burren.ie",2018,2,17,29,2.73655729526455,9.86987951807229,0.812686925483332
"2611","burren.ie",2015,2,18,20,2.42817006739456,7.6169014084507,0.810543081179247
"2612","burren.ie",2016,2,18,27,2.3542705193146,5.43440860215054,0.714316458923762
"2613","burren.ie",2017,2,18,22,1.83456924786758,2.89346811819596,0.593511501556501
"2614","burren.ie",2018,2,18,17,1.45168212080932,2.1649385097661,0.512380094444634
"2615","burren.ie",2015,2,19,22,1.77671261207636,2.59707950243375,0.574793985810844
"2616","burren.ie",2016,2,19,19,1.99412165886572,4.54845318582258,0.677250122340876
"2617","burren.ie",2017,2,19,16,2.0612517564401,5.33935907970419,0.743439421759949
"2618","burren.ie",2018,2,19,9,1.69395595482881,4,0.770952579131653
"2619","burren.ie",2015,2,20,17,1.86467925860819,3.45219266714594,0.658149963369364
"2620","burren.ie",2016,2,20,19,1.84707356395245,3.12950276243094,0.627309167220489
"2621","burren.ie",2017,2,20,18,1.88536729644629,3.49147442326981,0.652292318901777
"2622","burren.ie",2018,2,20,15,1.91701638744966,4.70923126407205,0.707895439556258
"2623","burren.ie",2015,3,21,20,1.60128287418745,2.29875067897882,0.534521355036765
"2624","burren.ie",2016,3,21,21,2.14681327854822,4.80917205293937,0.705139581810252
"2625","burren.ie",2017,3,21,16,1.48506086784405,2.41980514759343,0.535622487364218
