"","year","year_trt","trt","site_name","site_code","block","plot","subplot","mass","category","live"
"56130",2015,0,"Control","Slieve Carran","burren.ie",2,17,"B",168.15,"LITTER","0"
"56131",2015,0,"Control","Slieve Carran","burren.ie",2,17,"B",19.2,"WOODY","1"
"56132",2015,0,"Fence","Slieve Carran","burren.ie",2,18,"B",75.35,"FORB","1"
"56133",2015,0,"Fence","Slieve Carran","burren.ie",2,18,"B",97.5,"GRAMINOID","1"
"56134",2015,0,"Fence","Slieve Carran","burren.ie",2,18,"B",7.75,"LEGUME","1"
"56135",2015,0,"Fence","Slieve Carran","burren.ie",2,18,"B",322,"LITTER","0"
"56136",2015,0,"NP","Slieve Carran","burren.ie",2,19,"A",1.2,"BRYOPHYTE","1"
"56137",2015,0,"NP","Slieve Carran","burren.ie",2,19,"A",35.3,"FORB","1"
"56138",2015,0,"NP","Slieve Carran","burren.ie",2,19,"A",186.15,"GRAMINOID","1"
"56139",2015,0,"NP","Slieve Carran","burren.ie",2,19,"A",13.1,"LEGUME","1"
"56140",2015,0,"NP","Slieve Carran","burren.ie",2,19,"A",198.55,"LITTER","0"
"56141",2015,0,"PK","Slieve Carran","burren.ie",2,20,"A",7.85,"BRYOPHYTE","1"
"56142",2015,0,"PK","Slieve Carran","burren.ie",2,20,"A",32.85,"FORB","1"
"56143",2015,0,"PK","Slieve Carran","burren.ie",2,20,"A",145.95,"GRAMINOID","1"
"56144",2015,0,"PK","Slieve Carran","burren.ie",2,20,"A",3.15,"LEGUME","1"
"56145",2015,0,"PK","Slieve Carran","burren.ie",2,20,"A",452.35,"LITTER","0"
"56146",2015,0,"Fence","Slieve Carran","burren.ie",3,21,"C",11.1,"BRYOPHYTE","1"
"56147",2015,0,"Fence","Slieve Carran","burren.ie",3,21,"C",49.25,"FORB","1"
"56148",2015,0,"Fence","Slieve Carran","burren.ie",3,21,"C",182.2,"GRAMINOID","1"
"56149",2015,0,"Fence","Slieve Carran","burren.ie",3,21,"C",0.8,"LEGUME","1"
"56150",2015,0,"Fence","Slieve Carran","burren.ie",3,21,"C",319.25,"LITTER","0"
"56151",2015,0,"P","Slieve Carran","burren.ie",3,22,"D",12,"BRYOPHYTE","1"
"56152",2015,0,"P","Slieve Carran","burren.ie",3,22,"D",90.1,"FORB","1"
"56153",2015,0,"P","Slieve Carran","burren.ie",3,22,"D",117.8,"GRAMINOID","1"
"56154",2015,0,"P","Slieve Carran","burren.ie",3,22,"D",5.6,"LEGUME","1"
"56155",2015,0,"P","Slieve Carran","burren.ie",3,22,"D",168.75,"LITTER","0"
"56156",2015,0,"NPK","Slieve Carran","burren.ie",3,23,"A",7.75,"BRYOPHYTE","1"
"56157",2015,0,"NPK","Slieve Carran","burren.ie",3,23,"A",82.3,"FORB","1"
"56158",2015,0,"NPK","Slieve Carran","burren.ie",3,23,"A",104.25,"GRAMINOID","1"
"56159",2015,0,"NPK","Slieve Carran","burren.ie",3,23,"A",15.15,"LEGUME","1"
"56160",2015,0,"NPK","Slieve Carran","burren.ie",3,23,"A",156.6,"LITTER","0"
"56161",2015,0,"NPK","Slieve Carran","burren.ie",3,23,"A",20.25,"WOODY","1"
"56162",2015,0,"N","Slieve Carran","burren.ie",3,24,"C",13.8,"BRYOPHYTE","1"
"56163",2015,0,"N","Slieve Carran","burren.ie",3,24,"C",82.5,"FORB","1"
"56164",2015,0,"N","Slieve Carran","burren.ie",3,24,"C",101.1,"GRAMINOID","1"
"56165",2015,0,"N","Slieve Carran","burren.ie",3,24,"C",8.7,"LEGUME","1"
"56166",2015,0,"N","Slieve Carran","burren.ie",3,24,"C",144,"LITTER","0"
"56167",2015,0,"NP","Slieve Carran","burren.ie",3,25,"D",8.65,"BRYOPHYTE","1"
"56168",2015,0,"NP","Slieve Carran","burren.ie",3,25,"D",89.25,"FORB","1"
"56169",2015,0,"NP","Slieve Carran","burren.ie",3,25,"D",75.15,"GRAMINOID","1"
"56170",2015,0,"NP","Slieve Carran","burren.ie",3,25,"D",5.7,"LEGUME","1"
"56171",2015,0,"NP","Slieve Carran","burren.ie",3,25,"D",123.5,"LITTER","0"
"56172",2015,0,"K","Slieve Carran","burren.ie",3,26,"A",0.5,"BRYOPHYTE","1"
"56173",2015,0,"K","Slieve Carran","burren.ie",3,26,"A",71.2,"FORB","1"
"56174",2015,0,"K","Slieve Carran","burren.ie",3,26,"A",102.8,"GRAMINOID","1"
"56175",2015,0,"K","Slieve Carran","burren.ie",3,26,"A",8.95,"LEGUME","1"
"56176",2015,0,"K","Slieve Carran","burren.ie",3,26,"A",221.05,"LITTER","0"
"56177",2015,0,"NK","Slieve Carran","burren.ie",3,27,"B",1.2,"BRYOPHYTE","1"
